year,state_name,population,violent_crime,property_crime,crime_rate
2024,Oklahoma,4095393,"17,316",80996,1.9777344933685241
2024,Oregon,4272371,"14,143",102026,2.388041675219685
2024,Pennsylvania,13078751,"32,123",187680,1.4349994124056646
2024,Rhode Island,1112308,"1,708",11483,1.0323579440226986
2024,South Carolina,5478831,"23,927",107701,1.9657660548390705
2024,South Dakota,924669,"3,350",14665,1.5859729265283036
2024,Tennessee,7227750,"42,807",146876,2.032112344782263
2024,Texas,31290831,"121,845",638482,2.0404763299510966
2024,Utah,3503613,"8,045",49361,1.408859939725078
2024,Vermont,648493,"1,421",10554,1.627465523914676
2024,Virginia,8811195,"19,200",138307,1.5696735800308586
2024,Washington,7958180,"25,950",196288,2.46649359526927
2024,West Virginia,1769979,"4,404",20566,1.1619346896206113
2024,Wisconsin,5960975,"16,602",68794,1.1540729494755473
2024,Wyoming,587618,"1,195",7239,1.2319227797650856
